fileName,story,gruen score,grammaticality_score,redundancy_score,focus_score
samples-35700,"treasures and treasures to boot. But the Jew never for a moment stopped his pursuits. He was always seeking more and more to amass even more wealth, until at last all of it was in his hands. He bequeathed everything he possessed to his three sons, who in return returned being obliged to do him good and to bury him in a consecrated graveyard. From there he could see into the city, and that very evening he rode out to the spot where he had been informed of the murders to the wickedness of the sons of Adam. He thereupon rose up and bethought him how he could best get the full value of his gift, and first of all he inquired what he had in it. The fox came forward, and the knight told him everything, how he had found the red jacket. And the fox was so delighted that he gave the knight a net full of fresh air, and said, ""My good friend, now I am satisfied, come now to share in my joy. "" He also said, ""Henceforth you shall never quarrel with one another. I will always consider you my friend, and you shall always consider me your enemy. "" Thus they continue to hold each other with loyalty, and hold themselves guiltless of what they have done.",0.7617009764651703,0.7617009764651703,0.0,0.0
samples-35700,"The Nobleman's Daughter and the Shepherd In a village between Eisenberg and Naumburg there lived a nobleman's daughter. Nothing pleased her. One day she saw two dancing sows that a shepherd had obtained from a little gray man. To get one of these pigs -- for the dancing sows finally made her happy -- she had shown the shepherd her birthmark, namely a golden hair on her right breast. Now she declared that she would marry whatever man could guess her birthmark, then herd three hundred hares, and finally say something true that no one else knew about. Our shepherd already knew about her birthmark, so he volunteered to herd the three hundred hares. They were counted out to him, but he had scarcely gone into the open with them when they all scampered away from him. However, the little gray man gave him a flute, and when he blew into it every last one of the hares came running back to him. Now first the nobleman's daughter, then her mother, and finally her father -- all in disguise -- came to the shepherd to beg a hare from him. And each got one for a very high price, but when the shepherd blew into his flute the hares broke loose and ran back to him. Thus only the third task remained. The suitors were all invited to a gathering, but none of them, however noble they all were, was able to tell an unknown truth. Finally the shepherd rose from his seat in the back of the hall and began to relate what price he had received for the sale of the hares. This was all terribly embarrassing for the noble maiden and her parents, so they finally declared the shepherd the winner, and he married the nobleman's daughter.",0.7890406219022614,0.7890406219022614,0.0,0.0
samples-35700,"Emperor Heinrich in Sudemer Mountain Emperor Heinrich the Fowler liked to stay at Goslar, which he often did, and many stories are told about him there. Above all they tell about how marvelously beautiful his wife was, and how he could not be consoled when she died. After his grief had subsided somewhat, he revealed to his own daughter, who was almost more beautiful than her mother, his sinful desire to marry her. She appropriately resisted him, finally convincing him to first to travel to the courts of all the kings and counts in Europe in search of a spouse more beautiful than she. He traveled far and wide, but finally returned with the news that a more beautiful woman could not be found anywhere. But still she resisted his pleas and his advances. Finally he set the condition that he would desist from his demands if she could create a blanket upon which all of the earth's animals could be seen. She went into a small chapel in the upper city and fervently prayed to God, but she found no comfort in her prayers, so finally in despair she called upon the devil to come and help her. He appeared immediately, saying that he would bring the blanket to her, if she could remain awake in the chapel for three days and three nights. She brought her little dog into the chapel with her and spent the time ceaselessly praying. However, during the third night, just as morning was breaking, sleep almost overcame her. At that moment the devil approached, and her little dog, seeing him, pulled at her skirt so vigorously that she jumped up. The devil angrily dropped the blanket, furiously threw the little dog against church wall, and disappeared. She took the blanket to her father, who then was overcome by such powerful pain that he lost all will to live. He bewitched himself into the Sudemer Mountain near Goslar, whose watchtower is visible throughout the region. There he sits until the present day, and will return only when Goslar finds itself in",0.8097475767304328,0.8097475767304328,0.0,0.0
samples-74100,"a peasant from Mobberley, mounted on a milk-white horse, was crossing the Edge on his way to Macclesfield to sell the animal. He had reached a spot known as the Thieves' Hole, and, as he slowly rode along thinking of the profitable bargain which he hoped to make, was startled by the sudden appearance of an old man, tall and strangely clad in a deep flowing garment. The old man ordered him to stop, told him that he knew the errand upon which the rider was bent, and offered a sum of money for the horse. The farmer, however, refused the offer, not thinking it sufficient. ""Go, then, to Macclesfield,"" said the old man, ""but mark my words, you will not sell the horse. Should you find my words come true, meet me this evening, and I will buy your horse. "" The farmer laughed at such a prophecy, and went on his way. To his great surprise, and greater disappointment, nobody would buy, though all admired his beautiful horse. He was, therefore, compelled to return. On approaching the Edge he saw the old man again. Checking his pace, he began to consider how far it might be prudent to deal with a perfect stranger in so lonely a place. However, while he was considering what to do, the old man commanded him, ""Follow me!"" Silently the old man led him by the Seven Firs, the Golden Stone, by Stormy Point, and Saddle Boll. Just as the farmer was beginning to think he had gone far enough he fancied that he heard a horse neighing underground. Again he heard it. Stretching forth his arm the old man touched a rock with a wand, and immediately the farmer saw a ponderous pair of iron gates, which, with a sound like thunder, flew open. The horse reared bolt upright, and the terrified farmer fell on his knees praying that his life might be spared. ""Fear nothing,"" spoke the Wizard, ""and behold a sight which no mortal eye has ever looked upon. "" They went into the cave. In a long succession of caverns the farmer saw a countless number of men and horses, the latter milk-white, and all fast asleep. In the innermost cavern heaps of treasure were piled up on the ground. From these glittering heaps the old man bade the farmer take the price he desired for his horse, and thus addressed him, ""You see these men and horses; the number was not complete. Your horse was wanted to make it complete. Remember my words, there will come a day when these men and these horses, awakening from their enchanted slumber, will descend into the plain, decide the fate of a great battle, and save their country. This shall be when George the son of George shall reign. Go home in safety. Leave your horse. No harm will befall you; but henceforward no mortal eye will ever look upon the iron gates. Begone!"" The farmer lost no time in obeying. He heard the iron gates close with the same fearful sounds with which they were opened, and made the best of his way to Mobberley.",0.6889997387925785,0.7889997387925785,-0.1,0.0
samples-74100,"Then There Are Yet Men in the Isle of Man Castle Rushen has long been famous for its subterranean passages, and there are individuals amongst the islanders who still firmly believe that they lead to a beautiful country underground, inhabited by giants. Amongst the many tales they relate is one, that, several attempts being made to explore the passages, which in general proved unsuccessful, a number of daring fellows agreed to attempt the enterprise in company. Having armed themselves with staves, etc. , etc. , and procuring torches, they descended. After proceeding a little way, they found an old man, of great size, with a long beard, and blind, sitting on a rock as if fixed there. He, hearing them approach, enquired of them as to the state of the island, and at last asked one to put forth his hand, on which one of them gave him a plowshare which he had, when the old giant squeezed the iron together with the greatest ease, explaining at the same time: ""Then there are yet men in the Isle of Man. """,0.5839793739178466,0.5839793739178466,0.0,0.0
samples-74100,"Thomas the Rhymer [Following his departure from Fairyland,] Thomas remained several years in his own tower near Erceldoune, and enjoyed the fame of his predictions, several of which are current among the country people to this day. At length, as the prophet was entertaining the Earl of March in his dwelling, a cry of astonishment arose in the village, on the appearance of a hart and hind, which left the forest, and, contrary to their shy nature, came quietly onward, traversing the village towards the dwelling of Thomas. The prophet instantly bade them cease, and not to pity the poor animal, which seemed to be suffering from an injury. The farmer, believing the creature to be responsible for the death of one of his neighbors",0.6847156039975534,0.7847156039975534,-0.1,0.0
samples-50700,"ies in Scotland, and probably inferior to none in England, excepting Stonehenge, is formed by what are called the Standing Stones of Stenhouse, in the island of Pomona in the Orkneys, where it can scarcely be supposed that Druids ever penetrated. At least, it is certain, that the common people now consider it as a Scandinavian monument; and, according to an ancient custom, a couple who are desirous to attach themselves by more than an ordinary vow of fidelity, join hands through the round hole which is in one of the stones. This they call the promise of Odin.",0.6958231186228814,0.6958231186228814,0.0,0.0
samples-50700,"The Stone of Odin A young man had seduced a girl under promise of marriage, and she proving with child, was deserted by him: The young man was called before session; the elders were particularly severe. Being asked by the minister the cause of so much rigor, they answered, ""You do not know what a bad man this is; he has broke the promise of Odin. "" Being further asked what they meant by the promise of Odin, they put him in mind of the stone at Stenhouse, with the round hole in it; and added, that it was customary, when promises were made, for the contracting parties to join hands through this hole, and the promises so made were called the promises of Odin. It was said that a child passed through the hole when young would never shake with palsy in old age. Up to the time of its destruction, it was customary to leave some offering on visiting the stone, such as a piece of bread, or cheese, or a rag, or even a stone. The Odin stone, long the favorite trysting-place in summer twilights of Orkney lovers, was demolished in 1814 by a sacrilegious farmer, who used its material to assist him in the erection of a cowhouse. this misguided man was a Ferry-Louper (the name formerly given to strangers from the south), and his wanton destruction of the consecrated stone stirred so strongly the resentment of the peasantry in the district that various unsuccessful attempts were made to burn his house and holdings about his ears.",0.6763497351338498,0.6763497351338498,0.0,0.0
samples-50700,"The Temple of the Moon, The Temple of the Sun, and Wodden's Stone There was a custom among the lower class of people in this country which has entirely subsided within these twenty or thirty years. Upon the first day of every new year the common people, from all parts of the country, met at the Kirk of Stainhouse (Stennis), each person having provision for four or five days; they continued there for that time dancing and feasting in the kirk. This meeting gave the young people an opportunity of seeing each other, which seldom failed in making four or five marriages every year; and to secure each other's love, till an opportunity of celebrating their nuptials, they had resource to the following solemn engagements: The parties agreed stole from the rest of their companions, and went to the Temple of the Moon, where the woman, in presence of the man, fell down on her knees and prayed the god Wodden (for such was the name of the god they addressed upon this occasion) that he would enable her to perform all the promises and obligations she had and was to make to the young man present, after which they both went to the Temple of the Sun, where the man prayed in like manner before the woman, then they repaired from this to the stone [known as Wodden's or Odin's Stone], and the man being on one side and the woman on the other, they took hold of each other's right hand through the hole, and there swore to be constant and faithful to each other. This ceremony was held so very sacred in those times that the person who dared to break the engagement made here was counted infamous, and excluded all society.",0.5003900871210591,0.6003900871210591,-0.1,0.0
samples-50700,"Druidical Circles and Monoliths Druidical circles and monoliths were looked upon with awe; and there were few that would have dared to remove them. Here is a tradition of a monolith on the farm of Achorrachin in Glenlivet. The farmer was building a steading, and took the stone as a lintel to a byre door. Disease fell upon the cattle, and most unearthly noises were heard during the night all round the steading. There was no peace for man or beast. By the advice of a friend, the stone was taken from the wall and thrown into the river that ran past the farm. Still there was no peace. The stone was at last put into its old place in the middle of a field. Things then returned to their usual course. The stone stands to the present day in the middle of the field, and in some of its crevices were seen, not many years ago, small pieces of mortar.",0.7489563870234732,0.7489563870234732,0.0,0.0
